
Unknown;
Machine;\\7icost19\c\handler\log\console\Events;
Summary of time consumption;;;
Cycle Count;1831295;;
Batch Count;327;;
Jam Count;142;;
Assist Count;285;;
Changeover;26;;
Startups;41;;
;;;
Productive Time;05.04:12:59;;
Standby Time;11.01:10:20;;
;;;
UP Time;16.05:23:19;;
;;;
Jam Time;03.01:11:05;;
Assist Time;06:43:40;;
Changeover Time;19:27:07;;
Startup Time;01.04:51:31;;
Maintenance Time;03.11:28:33;;
;;;
Down Time;08.19:41:56;;
Operations Time;25.01:05:15;;
;;;
Analysis Start Time;10/30/20 2:25:00 PM;;
Analysis End Time;11/24/20 3:50:15 PM;;
Total Time;25.01:25:15;;
Equipment Indicators;;;;
Reliability;Failure Rate;02:44:31;;
;MTBF;00:52:29;;
;MCBF;12896;;
;Assist Rate;01:21:58;;
;MTBA;00:26:09;;
;MCBA;6425;;
Availability;Operational uptime;64%;;
Maintainability;MTTR;00:30:55;;
;MTTA;00:01:24;;
Operational utilization;Utilization;20%;;
;Total utilization;20%;;
Throughput;cycles/productive time;14742;;
Batch Profile;;;;;;;;;;;;;;;;;;;;
Batch Name;ID;Status;Pass Lane;End Time;Total Time;Productive ;Total ;X1;X2;X3;X5;X8;Left ;Right ;Abort ;Gross UPH;Net UPH;Yield;
;;;;;;Time ;Count ;;;;;;Taper ;Taper ;Count 
7ICOST19_DSMBGA802_10x_1;34;A ;Unknown;15 Nov 2020 15:29:45;00:00:00.000;00:00:00.000;12651;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
7ICOST19_DSMBGA802_10x_1;34;C ;Unknown;15 Nov 2020 15:36:22;00:06:37.000;00:00:00.000;12671;20;0;0;0;0;0;0;20;0;N/A;00.00%;
7ICOST19_DSMBGA802_10x_1;34;C ;Unknown;15 Nov 2020 15:36:22;00:06:37.000;00:00:00.000;12671;20;0;0;0;0;0;0;20;0;N/A;00.00%;
7ICOST19_DSMBGA802_10x_2;35;A ;Unknown;15 Nov 2020 15:37:59;00:00:00.000;00:00:00.000;12671;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
7ICOST19_DSMBGA802_10x_2;35;C ;Unknown;15 Nov 2020 15:43:44;00:05:45.000;00:00:00.000;12691;20;0;0;0;0;0;0;20;0;N/A;00.00%;
7ICOST19_DSMBGA802_10x_2;35;C ;Unknown;15 Nov 2020 15:43:44;00:05:45.000;00:00:00.000;12691;20;0;0;0;0;0;0;20;0;N/A;00.00%;
Default;36;C ;TAPE;15 Nov 2020 16:15:44;00:07:33.000;00:00:02.000;12699;8;0;0;0;0;0;0;8;0;0;N/A;
7ICOST19_DSMBGA802_TPSM_scratch_1;37;A ;Unknown;15 Nov 2020 16:17:55;00:00:00.000;00:00:00.000;12699;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
7ICOST19_DSMBGA802_TPSM_scratch_1;37;C ;Unknown;15 Nov 2020 16:19:18;00:01:23.000;00:00:00.000;12719;20;0;0;0;0;0;0;20;0;N/A;00.00%;
7ICOST19_DSMBGA802_TPSM_scratch_1;37;C ;Unknown;15 Nov 2020 16:19:18;00:01:23.000;00:00:00.000;12719;20;0;0;0;0;0;0;20;0;N/A;00.00%;
7ICOST19_DSMBGA802_TPSM_scratch_2;38;A ;Unknown;15 Nov 2020 17:37:54;00:00:00.000;00:00:00.000;12719;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
